address,area,rooms,bathrooms,garages,amenities,price,condo,neighborhood
"Rua das Gaivotas, 701 - Ingleses do Rio Vermelho, Florianópolis - SC",73,2,2,1.0,"Mobiliado
Elevador
Área de serviço
Churrasqueira
Salão de festas",2500.0,241, Ingleses do Rio Vermelho
"Agronômica, Florianópolis - SC",63,2,3,1.0,nan,2000.0,782, SC
"Rua Felipe Schmidt, 652 - Centro, Florianópolis - SC",68,2,1,0.0,"Mobiliado
Elevador
Ar-condicionado
Recepção
Interfone",1420.0,497, Centro
"Rua Delminda Silveira - Agronômica, Florianópolis - SC",48,1,1,1.0,"Mobiliado
Salão de festas
Jardim
Ar-condicionado
Armário embutido",1900.0,151, Agronômica
"Jardim Atlântico, Florianópolis - SC",83,2,1,1.0,"Mobiliado
Elevador
Área de serviço
Churrasqueira
Salão de festas",1100.0,295, SC
"Rodovia João Paulo, 614 - Joao Paulo, Florianópolis - SC",75,2,1,2.0,"Elevador
Área de serviço
Salão de festas
Jardim
Ar-condicionado",2200.0,528, Joao Paulo
"Rua do Trinta - Réis, 953 - Ingleses do Rio Vermelho, Florianópolis - SC",82,2,2,1.0,"Elevador
Piscina
Área de serviço
Salão de festas
Playground",2400.0,470, Réis
"Avenida do Antão - Agronômica, Florianópolis - SC",45,2,1,0.0,nan,1200.0,200, Agronômica
"Rua Desembargador Urbano Salles - Centro, Florianópolis - SC",196,3,5,2.0,"Elevador
Piscina",2900.0,1372, Centro
"Rua Afonso Cardoso da Veiga - Canasvieiras, Florianópolis - SC",98,3,2,0.0,"Mobiliado
Elevador",3850.0,0, Canasvieiras
"Praça Quinze de Novembro, 691 - Centro, Florianópolis - SC",75,2,2,1.0,"Elevador
Condomínio fechado
Aceita animais",2250.0,500, Centro
"Trindade, Florianópolis - SC",89,3,2,2.0,"Mobiliado
Piscina
Área de serviço
Churrasqueira
Salão de festas",3700.0,723, SC
"Rua das Gaivotas, 1709 - Ingleses do Rio Vermelho, Florianópolis - SC",152,3,2,1.0,"Mobiliado
Elevador
Playground
Sauna
Interfone",2500.0,1345, Ingleses do Rio Vermelho
"Rua do Marisco - Ingleses do Rio Vermelho, Florianópolis - SC",65,2,1,1.0,Ar-condicionado,1350.0,0, Ingleses do Rio Vermelho
"Avenida Luiz Boiteux Piazza, 6640 - Ponta das Canas, Florianópolis - SC",55,1,1,1.0,"Mobiliado
Churrasqueira
Varanda
Ar-condicionado
Condomínio fechado",1480.0,0, Ponta das Canas
"Avenida Hercílio Luz - Centro, Florianópolis - SC",43,1,1,1.0,"Elevador
Armário na cozinha",1450.0,429, Centro
"Rua Esteves Júnior - Centro, Florianópolis - SC",87,2,2,1.0,Elevador,1900.0,690, Centro
"Rua do Bie - Campeche, Florianópolis - SC",35,1,1,1.0,Mobiliado,1800.0,0, Campeche
"Carvoeira, Florianópolis - SC",69,2,2,1.0,"Mobiliado
Área de serviço
Churrasqueira
Salão de festas
Playground",2500.0,343, SC
"Rua Capitão Euclides de Castro - Coqueiros, Florianópolis - SC",55,2,1,1.0,nan,1500.0,461, Coqueiros
"Rua General Bittencourt, 546 - Centro, Florianópolis - SC",86,3,2,1.0,nan,1550.0,763, Centro
"Rua Esteves Júnior - Centro, Florianópolis - SC",72,2,2,1.0,"Elevador
Ar-condicionado
Armário na cozinha",1790.0,713, Centro
"Rua Lauro Linhares - Trindade, Florianópolis - SC",49,2,1,1.0,nan,1350.0,356, Trindade
"Rua Deputado Antônio Edu Vieira, 1422 - Pantanal, Florianópolis - SC",62,2,2,2.0,"Mobiliado
Piscina
Área de serviço
Varanda
Ar-condicionado",2400.0,500, Pantanal
"Estreito, Florianópolis - SC",35,1,1,0.0,"Área de serviço
Salão de festas
Playground
Academia
Jardim",1500.0,1, SC
"Servidão Três Irmãos - Ingleses do Rio Vermelho, Florianópolis - SC",90,3,2,1.0,Elevador,1800.0,560, Ingleses do Rio Vermelho
"Rua Afonso Cardoso da Veiga - Canasvieiras, Florianópolis - SC",69,2,2,0.0,"Mobiliado
Elevador",3300.0,0, Canasvieiras
"Rua Presidente Nereu Ramos, 160 - Centro, Florianópolis - SC",76,2,3,1.0,"Mobiliado
Piscina
Churrasqueira
Playground
Academia",7000.0,0, Centro
"Rua Desembargador Arno Hoeschl, 290 - Centro, Florianópolis - SC",70,2,3,2.0,"Elevador
Piscina
Academia
Ar-condicionado
Condomínio fechado",7000.0,0, Centro
"Centro, Florianópolis - SC",66,2,1,1.0,nan,2000.0,441, SC
"Centro, Florianópolis - SC",121,3,4,1.0,nan,2200.0,1116, SC
"Rua Afonso Cardoso da Veiga, 625 - Canasvieiras, Florianópolis - SC",38,1,1,1.0,nan,950.0,0, Canasvieiras
"Rua José Jacques, 32 - Centro, Florianópolis - SC",38,1,1,0.0,"Mobiliado
Elevador
Interfone",1200.0,350, Centro
"Rua João Luiz da Silva Brito, 464 - Canasvieiras, Florianópolis - SC",59,1,1,0.0,"Mobiliado
Elevador
Salão de festas",1500.0,540, Canasvieiras
"Agronômica, Florianópolis - SC",65,2,2,1.0,Elevador,2100.0,650, SC
"Centro, Florianópolis - SC",92,2,3,1.0,"Piscina
Salão de festas
Playground
Varanda
Academia",4900.0,648, SC
"Rua Felipe Schmidt - Centro, Florianópolis - SC",48,1,1,1.0,"Condomínio fechado
Cozinha
Garagem",900.0,410, Centro
"Rua Patrício Farias - Itacorubi, Florianópolis - SC",65,2,2,1.0,"Área de serviço
Salão de festas
Academia
Interfone
Armário embutido",2500.0,700, Itacorubi
"Rua Elza Maria Ferreira - Trindade, Florianópolis - SC",68,1,1,1.0,nan,1300.0,280, Trindade
"Rua Acelon Pacheco da Costa - Itacorubi, Florianópolis - SC",65,2,1,1.0,Elevador,1450.0,520, Itacorubi
"Rua Leonel Pereira - Cachoeira do Bom Jesus, Florianópolis - SC",53,2,1,1.0,Piscina,1400.0,417, Cachoeira do Bom Jesus
"Rodovia Admar Gonzaga, 1623 - Itacorubi, Florianópolis - SC",58,3,1,1.0,"Área de serviço
Salão de festas
Playground
Jardim
Sistema de alarme",1480.0,38, Itacorubi
"Rua Tupinambá - Jardim Atlântico, Florianópolis - SC",106,3,2,1.0,Elevador,1800.0,550, Jardim Atlântico
"Rua Douglas Seabra Levier - Trindade, Florianópolis - SC",73,2,2,1.0,nan,1750.0,287, Trindade
"Servidão João Sinfronio Pereira - Rio Tavares, Florianópolis - SC",42,2,1,0.0,"Área de serviço
Sala de jantar",1350.0,0, Rio Tavares
"Rodovia Amaro Antônio Vieira - Itacorubi, Florianópolis - SC",93,3,2,2.0,"Mobiliado
Salão de festas
Playground
Ar-condicionado
Quadra poliesportiva",2900.0,640, Itacorubi
"Rua Brisamar - Ingleses do Rio Vermelho, Florianópolis - SC",43,1,1,0.0,nan,800.0,0, Ingleses do Rio Vermelho
"Rua Corália Ferreira da Luz, 75 - Centro, Florianópolis - SC",27,1,1,0.0,"Mobiliado
Elevador
Ar-condicionado
Circuito de segurança
Lavanderia",1400.0,0, Centro
"Rua João Motta Espezim, 703 - Saco dos Limões, Florianópolis - SC",38,2,1,0.0,Condomínio fechado,1200.0,212, Saco dos Limões
"Rua Felipe Schmidt - Centro, Florianópolis - SC",95,3,2,1.0,"Elevador
Área de serviço
Ar-condicionado
Lavanderia",3000.0,651, Centro
"Rua Apeninos - Córrego Grande, Florianópolis - SC",70,2,1,1.0,nan,1400.0,750, Córrego Grande
"Rua Acelon Pacheco da Costa - Itacorubi, Florianópolis - SC",52,2,1,1.0,nan,1250.0,480, Itacorubi
"Rua das Gaivotas, 701 - Ingleses do Rio Vermelho, Florianópolis - SC",86,3,2,1.0,"Mobiliado
Elevador
Piscina
Área de serviço
Churrasqueira",4300.0,400, Ingleses do Rio Vermelho
"Rua Acary Margarida, 522 - Canasvieiras, Florianópolis - SC",80,2,2,1.0,"Mobiliado
Elevador
Piscina
Churrasqueira
Salão de festas",1900.0,1100, Canasvieiras
"Rua dos Chernes, 45 - Jurerê, Florianópolis - SC",100,2,2,2.0,"Mobiliado
Elevador
Piscina
Churrasqueira
Salão de festas",5000.0,450, Jurerê
"Rua Delminda Silveira - Agronômica, Florianópolis - SC",77,3,2,1.0,nan,1600.0,329, Agronômica
"Rua São Francisco - Centro, Florianópolis - SC",70,2,1,1.0,Elevador,1850.0,427, Centro
"Rua Visconde de Ouro Preto - Centro, Florianópolis - SC",120,2,2,1.0,nan,1500.0,900, Centro
"Lagoa da Conceição, Florianópolis - SC",30,1,1,0.0,nan,1350.0,0, SC
"Rua Acary Margarida, 522 - Canasvieiras, Florianópolis - SC",84,2,2,1.0,"Mobiliado
Elevador
Piscina
Churrasqueira
Salão de festas",1900.0,1100, Canasvieiras
"Rua Desembargador Sálvio Gonzaga - Coqueiros, Florianópolis - SC",89,3,2,1.0,nan,1750.0,580, Coqueiros
"Rua Henrique Bruggemann, 97 - Centro, Florianópolis - SC",91,3,2,2.0,"Elevador
Área de serviço
Churrasqueira
Varanda
Ar-condicionado",3790.0,740, Centro
"Rio Tavares, Florianópolis - SC",58,2,2,1.0,"Elevador
Área de serviço
Churrasqueira
Ar-condicionado
Cozinha",3000.0,550, SC
"Rua Santo Inácio de Loyola - Centro, Florianópolis - SC",180,4,1,3.0,Cozinha,8500.0,1500, Centro
"Rua Professor Milton Sullivan - Carvoeira, Florianópolis - SC",49,2,1,1.0,Elevador,2000.0,352, Carvoeira
"Avenida Madre Benvenuta, 411 - Trindade, Florianópolis - SC",77,3,1,1.0,"Área de serviço
Cozinha",1300.0,580, Trindade
"Servidão Flor do Campo Limpo - Ingleses do Rio Vermelho, Florianópolis - SC",62,2,1,1.0,Cozinha,1350.0,0, Ingleses do Rio Vermelho
"Avenida Prefeito Osmar Cunha - Centro, Florianópolis - SC",91,2,2,0.0,Área de serviço,1350.0,650, Centro
"Agronômica, Florianópolis - SC",77,3,2,1.0,"Piscina
Área de serviço
Salão de festas
Varanda
Academia",2500.0,552, SC
"Servidão do Palmeiras - Itacorubi, Florianópolis - SC",105,3,2,1.0,"Elevador
Churrasqueira
Salão de festas
Playground
Jardim",2300.0,697, Itacorubi
"Avenida Professor Othon Gama D'Eça - Centro, Florianópolis - SC",60,1,1,1.0,Mobiliado,1450.0,450, Centro
"Lagoa da Conceição, Florianópolis - SC",200,5,2,0.0,nan,5700.0,0, SC
"Avenida Engenheiro Max de Souza, 1088 - Coqueiros, Florianópolis - SC",83,2,2,1.0,"Varanda
Aceita animais",1380.0,495, Coqueiros
"Rua Olympio da Silva - Pantanal, Florianópolis - SC",48,2,1,1.0,nan,1400.0,0, Pantanal
"Campeche, Florianópolis - SC",89,2,2,2.0,"Piscina
Área de serviço
Churrasqueira
Varanda
Armário embutido",2900.0,830, SC
"Cachoeira do Bom Jesus, Florianópolis - SC",48,2,2,1.0,"Mobiliado
Área de serviço
Churrasqueira
Varanda
Jardim",1600.0,0, SC
"Pantanal, Florianópolis - SC",25,1,1,1.0,"Mobiliado
Área de serviço
Varanda
Mais de um andar
Armário embutido",1250.0,100, SC
"Rua Mediterrâneo, 53 - Córrego Grande, Florianópolis - SC",82,3,1,1.0,"Condomínio fechado
Garagem",2100.0,658, Córrego Grande
"Rua Antônio da Silveira - Lagoa da Conceição, Florianópolis - SC",47,1,1,1.0,nan,1200.0,220, Lagoa da Conceição
"Itacorubi, Florianópolis - SC",73,2,2,1.0,"Mobiliado
Piscina
Área de serviço
Salão de festas
Playground",2450.0,956, SC
"Rua Luiz Delfino, 146 - Centro, Florianópolis - SC",82,1,1,1.0,"Elevador
Área de serviço
Playground
Jardim
Interfone",5000.0,1242, Centro
"Servidão Sinfronio José da Silveira - Campeche, Florianópolis - SC",63,2,2,1.0,nan,1800.0,0, Campeche
"Rua Almirante Lamego - Centro, Florianópolis - SC",120,3,2,1.0,"Salão de festas
Playground
Condomínio fechado",3000.0,976, Centro
"Rua Duarte Schutel - Centro, Florianópolis - SC",79,3,3,1.0,"Elevador
Salão de festas
Playground
Armário na cozinha
Garagem",1890.0,681, Centro
"Estrada Vereador Onildo Lemos, 2345 - Santinho, Florianópolis - SC",102,2,2,1.0,"Elevador
Piscina
Churrasqueira
Salão de festas
Playground",3500.0,960, Santinho
"Avenida Campeche - Campeche, Florianópolis - SC",98,3,2,1.0,"Elevador
Piscina",3800.0,908, Campeche
"Rua Desembargador Pedro Silva - Coqueiros, Florianópolis - SC",130,3,2,2.0,"Área de serviço
Salão de festas
Playground
Academia
Jardim",3700.0,733, Coqueiros
"Rua Ferreira Lima - Centro, Florianópolis - SC",110,3,3,2.0,"Elevador
Churrasqueira
Salão de festas
Armário na cozinha",2680.0,951, Centro
"Avenida Jornalista Rubens de Arruda Ramos - Beira Mar, Florianópolis - SC",156,2,4,1.0,nan,3200.0,0, Beira Mar
"Trindade, Florianópolis - SC",47,1,1,0.0,"Área de serviço
Salão de festas
Playground
Varanda
Jardim",1500.0,188, SC
"Rua Orlando Odilio Koerich, 201 - Jardim Atlântico, Florianópolis - SC",67,2,2,1.0,"Elevador
Piscina
Churrasqueira
Salão de festas
Playground",3015.0,0, Jardim Atlântico
"Avenida Luiz Boiteux Piazza, 4615 - Cachoeira do Bom Jesus, Florianópolis - SC",68,2,2,1.0,"Área de serviço
Churrasqueira
Sala de jantar",2200.0,500, Cachoeira do Bom Jesus
"Rua Douglas Seabra Levier - Trindade, Florianópolis - SC",84,3,2,1.0,Elevador,1950.0,435, Trindade
"Servidão Deolindo Costa - Saco dos Limões, Florianópolis - SC",42,1,1,1.0,"Mobiliado
Área de serviço
Salão de festas
Interfone
Sala de jantar",1300.0,450, Saco dos Limões
"Rua Mario Giocondo Crocetta, 199 - Ingleses do Rio Vermelho, Florianópolis - SC",85,3,2,1.0,"Elevador
Churrasqueira",2750.0,470, Ingleses do Rio Vermelho
"Rua Doutor Carlos Corrêa - Agronômica, Florianópolis - SC",64,2,2,1.0,"Elevador
Churrasqueira
Salão de festas
Armário na cozinha",2000.0,582, Agronômica
"Rua Deputado Antônio Edu Vieira, 516 - Pantanal, Florianópolis - SC",55,1,1,1.0,"Elevador
Piscina
Área de serviço
Churrasqueira
Salão de festas",1300.0,401, Pantanal
"Rua dos Canudos - Ingleses do Rio Vermelho, Florianópolis - SC",72,2,2,1.0,Cozinha,1750.0,0, Ingleses do Rio Vermelho
"Centro, Florianópolis - SC",145,3,4,3.0,"Área de serviço
Playground
Closet
Sala de jantar
Garagem",6500.0,2500, SC
"Trindade, Florianópolis - SC",77,2,3,2.0,"Elevador
Piscina
Área de serviço
Churrasqueira
Salão de festas",2990.0,550, SC
"Rua Desembargador Arno Hoeschl, 159 - Centro, Florianópolis - SC",48,1,1,1.0,"Mobiliado
Área de serviço
Armário embutido",1700.0,680, Centro
"Rua João Luiz da Silva Brito, 464 - Canasvieiras, Florianópolis - SC",96,2,1,1.0,"Mobiliado
Elevador
Piscina
Churrasqueira
Salão de festas",1900.0,1100, Canasvieiras
"Rua São Francisco - Centro, Florianópolis - SC",252,5,5,2.0,"Elevador
Salão de festas
Ar-condicionado
Armário na cozinha
Closet",4200.0,2497, Centro
"Rua Douglas Seabra Levier - Trindade, Florianópolis - SC",75,2,2,1.0,nan,1680.0,531, Trindade
"Rua Rui Barbosa, 650 - Agronômica, Florianópolis - SC",82,3,2,2.0,"Elevador
Área de serviço
Churrasqueira
Salão de festas
Playground",3100.0,721, Agronômica
"Rua Desembargador Arno Hoeschl, 174 - Centro, Florianópolis - SC",84,3,1,1.0,Garagem,1900.0,835, Centro
"Rua Jornalista Tito Carvalho - Trindade, Florianópolis - SC",67,2,2,1.0,nan,1500.0,420, Trindade
"Barra da Lagoa, Florianópolis - SC",40,1,1,0.0,nan,1300.0,0, SC
"Centro, Florianópolis - SC",120,3,2,1.0,"Mobiliado
Área de serviço
Salão de festas
Escritório
Interfone",2300.0,800, SC
"Rua dos Ilhéus, 142 - Centro, Florianópolis - SC",53,1,1,0.0,"Área de serviço
Interfone
Armário na cozinha",900.0,637, Centro
"Praça Quinze de Novembro - Agronômica, Florianópolis - SC",70,2,1,1.0,"Área de serviço
Churrasqueira
Ar-condicionado
Armário embutido",2300.0,0, Agronômica
"Rua Vera Linhares de Andrade - Itacorubi, Florianópolis - SC",61,2,1,2.0,Cozinha,2400.0,0, Itacorubi
"Rodovia Amaro Antônio Vieira - Itacorubi, Florianópolis - SC",82,2,2,1.0,"Piscina
Churrasqueira
Varanda
Interfone
Segurança 24h",1800.0,700, Itacorubi
"Rua Professor Egídio Ferreira, 271 - Capoeiras, Florianópolis - SC",65,2,1,1.0,"Elevador
Piscina
Área de serviço
Churrasqueira
Varanda",1400.0,523, Capoeiras
"Joao Paulo, Florianópolis - SC",114,3,3,2.0,"Elevador
Piscina
Área de serviço
Churrasqueira
Varanda",3400.0,784, SC
"Rua Lauro Linhares - Trindade, Florianópolis - SC",65,2,2,1.0,nan,1500.0,578, Trindade
